CrossType	RIseedSet	RIviability	RIseedSet-SobelChen	RIviability-SobelChen	CrossType	Ecotype	Clade	Divergence time	Geographic distance (mid point)	Environmental distance scaled only pops here	Environmental distance scaled DH	Phenotypic distance (Walter first 2 PCs)	Phenotypic distance (Walter 9 PCs)	Phenotypic distance (Walter 7 PCs)	Environmental distance Roda (first 2PCs)	Environmental distance Roda (10 PCs)	Environmental distance Roda (5 PCs)	Genetic distance	EnvDist-MDS-5PCs	PhenoDist-MDS-7PCs
D01-D04	-0.258510118	-0.157699444	-0.111048326	-0.072826187	DD	Same	Within	285460.15	176.21	0.84782595	0.504362179	1.277837561	2.094682985	2.057138954	0.953218754	2.03191511	1.289075229	0.002319	1.289075229	2.080757775
D01-D23	0.01411299	-0.17408377	0.014588978	-0.054531529	DD	Same	Between	443435.06	1904.38	3.394671656	1.930282672	2.006929985	3.215864556	3.207970136	4.1678916	4.505477208	4.394382692	0.0036	4.394382692	2.759618756
D01-D32	-0.223817932	-0.173913044	-0.018020321	-0.076676034	DD	Same	Between	443435.06	1549.66	4.587723542	2.658965869	5.06231291	5.272178086	5.27148066	5.9794968	6.906003337	6.790542675	0.0036	6.790542675	4.938445871
D01-H01	-0.322475845	-0.017012448	-0.134067937	-0.007205908	DH	Different	Within	244160.47	3.78	13.03481631	13.86667879	1.418874209	1.97155091	1.968344422	12.52709246	13.10341694	13.08719198	0.001982	13.08719198	1.9402354
D01-H12	0.609283343	0.00591716	0.481764026	0.050938783	DH	Different	Between	443435.06	1555.3	3.147423995	2.510485793	4.181380546	4.705260553	4.685259494	3.747493671	5.039296147	4.373936782	0.0036	4.373936782	4.276888682
D04-D23	-0.036492712	-0.235915493	-0.009850731	-0.086756604	DD	Same	Between	443435.06	1811.72	2.562227501	1.432218151	1.263634023	3.544663719	3.540203805	3.215079989	4.065805871	3.801072137	0.003601	3.801072137	3.190520947
D04-H01	0.755828935	0.002244166	0.613543663	0.004215816	DH	Different	Within	285460.15	173	12.88039548	13.48201835	2.331329405	3.571173326	3.535176799	12.2063195	12.98947643	12.95075038	0.002319	12.95075038	3.568586459
D04-H05	-0.400719472	0.035687332	-0.1650187	0.018300572	DH	Different	Within	146932.64	0.94	7.125759813	6.282435111	3.212366372	4.256281153	4.255967854	6.05892628	8.713343771	8.643078245	0.001194	8.643078245	4.021541138
D04-H12	0.945284346	1	0.896245678	1	DH	Different	Between	443435.06	1403.89	2.452720221	2.030978009	3.837987742	4.821268971	4.807909323	2.849601547	3.855891921	3.358431396	0.003601	3.358431396	4.480682023
D23-H01	0.883654104	0.861578122	0.791944701	0.757857511	DH	Different	Between	443435.06	1904.18	12.1880907	12.64072112	2.290174766	3.571218172	3.555225894	11.75324906	12.56938825	12.54746042	0.0036	12.54746042	3.152752603
D23-H05	0.880397339	0.662063363	0.786348022	0.494839101	DH	Different	Between	443435.06	1812.3	8.070073639	6.465255882	2.389727235	3.725249566	3.719996903	6.684623515	8.605755756	8.566829852	0.0036	8.566829852	3.720777273
D23-H21	0.280212662	-0.021109475	0.183494661	0.031689627	DH	Different	Within	75972.25	3.06	4.727725157	3.308931113	0.290919653	1.498467897	1.449826748	4.523100651	5.771762522	5.599912647	0.000616	5.599912647	1.324010491
D32-H12	-0.828576393	-0.301694915	-0.292927966	-0.130592359	DH	Different	Within	109643.52	6.29	2.04156308	0.981318756	4.071178694	4.599710296	4.57102072	2.705245043	5.621657701	5.429873412	0.00089	5.429873412	4.559302455
H01-H05	-0.069005332	0.035255616	-0.030127046	0.018183863	HH	Same	Within	285460.15	172.7	7.981781383	9.501006622	1.754687502	2.033975005	1.962649896	6.412788056	10.93441575	10.93195743	0.002319	10.93195743	1.355730792
H01-H12	0.315340215	-0.16357776	0.193720763	-0.074863999	HH	Same	Between	443435.06	1553.41	11.14765352	11.60637912	3.53395472	3.85000478	3.814208882	10.59361339	11.8622835	11.69762288	0.0036	11.69762288	3.362238058
H01-H21	0.525103221	0.222623346	0.356225592	0.144187946	HH	Same	Between	443435.06	1905.04	11.02265159	10.028685	2.558566177	3.260433927	3.196004071	11.03809986	12.6633283	12.61910769	0.0036	12.61910769	3.107081896
H05-H12	0.395015219	0.264082687	0.246267451	0.161643417	HH	Same	Between	443435.06	1404.33	6.89296617	5.559922162	2.05700586	2.711799914	2.692064365	5.349727062	7.7834877	7.4657069	0.003601	7.4657069	2.637731523
H12-H21	-0.90487309	-0.339007092	-0.310885694	-0.135083559	HH	Same	Within	305693.77	1553.41	4.949290473	2.732761649	2.474877978	3.565732417	3.515720828	4.890016172	5.922787428	5.099951734	0.002482	5.099951734	3.417994846
