CrossMother	CrossFather	CrossComparison	CrossType	AverageProportionFertilizedSeeds	CrossMother-AverageProportionFertilizedSeeds	CrossFather-AverageProportionFertilizedSeeds	RIseedSet-SobelChen	AverageProportionGerminatedSeeds	CrossMother-AverageProportionGerminatedSeeds	CrossFather-AverageProportionGerminatedSeeds	RIviability-SobelChen	MotherEcotype	FatherEcotype	EcotypeCross	Ecotype	Clade
D01	D04	D01-D04	D01-D04	0.591432697	0.434031735	0.411817397	-0.166123059	0.942857143	0.733333333	0.846153846	-0.088372093	Dune	Dune	DD	Same	Within
D01	D23	D01-D23	D01-D23	0.565521031	0.434031735	0.544016484	-0.072540206	0.75	0.733333333	0.246153846	-0.209927611	Dune	Dune	DD	Same	Between
D01	D32	D01-D32	D01-D32	0.84009434	0.434031735	0.46500087	-0.302865085	0.8	0.733333333	0.8	-0.021276596	Dune	Dune	DD	Same	Between
D01	H01	D01-H01	D01-H01	0.560332598	0.434031735	0.540557416	-0.069717572	0.92	0.733333333	0.957894737	-0.042130366	Dune	Headland	DH	Different	Within
D01	H12	D01-H12	D01-H12	0.169014085	0.434031735	0.103008105	0.227424232	1	0.733333333	0.675	-0.173594132	Dune	Headland	DH	Different	Between
D04	D01	D04-D01	D01-D04	0.473076993	0.411817397	0.434031735	-0.055973593	0.885714286	0.846153846	0.733333333	-0.05728028	Dune	Dune	DD	Same	Within
D04	D23	D04-D23	D04-D23	0.407498539	0.411817397	0.544016484	0.079531478	0.85	0.846153846	0.246153846	-0.217630854	Dune	Dune	DD	Same	Between
D04	H01	D04-H01	D04-H01	0.08	0.411817397	0.540557416	0.712327179	1	0.846153846	0.957894737	-0.051511281	Dune	Headland	DH	Different	Within
D04	H05	D04-H05	D04-H05	0.566603774	0.411817397	0.336090671	-0.204824986	0.88	0.846153846	0.9375	0.006674988	Dune	Headland	DH	Different	Within
D04	H12	D04-H12	D04-H12	0.014084507	0.411817397	0.103008105	0.896245678	0	0.846153846	0.675	1	Dune	Headland	DH	Different	Between
D23	D01	D23-D01	D01-D23	0.398724003	0.544016484	0.434031735	0.101718162	0.4	0.246153846	0.733333333	0.100864553	Dune	Dune	DD	Same	Between
D23	D04	D23-D04	D04-D23	0.583216313	0.544016484	0.411817397	-0.09923294	0.5	0.246153846	0.846153846	0.044117647	Dune	Dune	DD	Same	Between
D23	H01	D23-H01	D23-H01	0.054216026	0.544016484	0.540557416	0.818220434	0.066666667	0.246153846	0.957894737	0.800605448	Dune	Headland	DH	Different	Between
D23	H05	D23-H05	D23-H05	0.052631579	0.544016484	0.336090671	0.786348022	0.2	0.246153846	0.9375	0.494839101	Dune	Headland	DH	Different	Between
D23	H21	D23-H21	D23-H21	0.37875817	0.544016484	0.256348965	0.027504724	0.228571429	0.246153846	0.5	0.240182647	Dune	Headland	DH	Different	Within
D32	D01	D32-D01	D01-D32	0.260157883	0.46500087	0.434031735	0.266824443	1	0.8	0.733333333	-0.132075472	Dune	Dune	DD	Same	Between
D32	H12	D32-H12	D32-H12	0.517792942	0.46500087	0.103008105	-0.291580449	0.92	0.8	0.675	-0.110105581	Dune	Headland	DH	Different	Within
H01	D01	H01-D01	D01-H01	0.728538012	0.540557416	0.434031735	-0.198418301	0.8	0.957894737	0.733333333	0.02771855	Headland	Dune	HD	Different	Within
H01	D04	H01-D04	D04-H01	0.152542373	0.540557416	0.411817397	0.514760147	0.8	0.957894737	0.846153846	0.059942912	Headland	Dune	HD	Different	Within
H01	D23	H01-D23	D23-H01	0.071969697	0.540557416	0.544016484	0.765668968	0.1	0.957894737	0.246153846	0.715109573	Headland	Dune	HD	Different	Between
H01	H05	H01-H05	H01-H05	0.416276136	0.540557416	0.336090671	0.025799091	0.942857143	0.957894737	0.9375	0.002560215	Headland	Headland	HH	Same	Within
H01	H12	H01-H12	H01-H12	0.260428626	0.540557416	0.103008105	0.1053812	1	0.957894737	0.675	-0.101050344	Headland	Headland	HH	Same	Between
H01	H21	H01-H21	H01-H21	0.182114509	0.540557416	0.256348965	0.372632996	0.733333333	0.957894737	0.5	-0.0029994	Headland	Headland	HH	Same	Between
H05	D04	H05-D04	D04-H05	0.48100562	0.336090671	0.411817397	-0.125212442	0.84	0.9375	0.846153846	0.029926156	Headland	Dune	HD	Different	Within
H05	H01	H05-H01	H01-H05	0.520865343	0.336090671	0.540557416	-0.086053183	0.885714286	0.9375	0.957894737	0.03380751	Headland	Headland	HH	Same	Within
H05	H12	H05-H12	H05-H12	0.128961866	0.336090671	0.103008105	0.259927107	0.466666667	0.9375	0.675	0.266775777	Headland	Headland	HH	Same	Between
H12	D01	H12-D01	D01-H12	0.040816327	0.103008105	0.434031735	0.73610382	0.4	0.675	0.733333333	0.275471698	Headland	Dune	HD	Different	Between
H12	D32	H12-D32	D32-H12	0.520854861	0.103008105	0.46500087	-0.294275483	1	0.675	0.8	-0.151079137	Headland	Dune	HD	Different	Within
H12	H01	H12-H01	H01-H12	0.180194805	0.103008105	0.540557416	0.282060325	0.9	0.675	0.957894737	-0.048677654	Headland	Headland	HH	Same	Between
H12	H05	H12-H05	H05-H12	0.136686211	0.103008105	0.336090671	0.232607794	0.72	0.675	0.9375	0.056511057	Headland	Headland	HH	Same	Between
H12	H21	H12-H21	H12-H21	0.357870823	0.103008105	0.256348965	-0.331490095	0.933333333	0.675	0.5	-0.22739726	Headland	Headland	HH	Same	Within
H21	D23	H21-D23	D23-H21	0.197334746	0.256348965	0.544016484	0.339484598	0.533333333	0.5	0.246153846	-0.176803394	Headland	Dune	HD	Different	Within
H21	H01	H21-H01	H01-H21	0.196333765	0.256348965	0.540557416	0.339818188	0.4	0.5	0.957894737	0.291375291	Headland	Headland	HH	Same	Between
H21	H12	H21-H12	H12-H21	0.326658788	0.256348965	0.103008105	-0.290281293	0.64	0.5	0.675	-0.042769857	Headland	Headland	HH	Same	Within
