Order,ENV,block,sb,GRID,GENO,Type,TypeO,TypeS,Family,GE,D80,D100,Surv,L10,Bud,totaldays,D320,CD320
1,DUNE,1,A,B10,Parental,DUNE,DUNE,D1,D1-A23,1,1,1,1,1,0,240,1,0
2,DUNE,1,A,B34,Parental,DUNE,DUNE,D0,D0-48,1,1,1,1,1,0,289,1,0
3,DUNE,1,A,C33,Parental,DUNE,DUNE,D0,D0-51,0,0,0,0,0,0,0,NA,1
4,DUNE,1,A,D02,Parental,DUNE,DUNE,D3,D3-A24,1,1,1,1,1,0,240,1,0
5,DUNE,1,A,D04,Parental,DUNE,DUNE,D0,D0-54,0,0,0,0,0,0,0,NA,1
6,DUNE,1,A,E12,Parental,DUNE,DUNE,D1,D1-A14,1,1,1,1,1,0,289,1,0
7,DUNE,1,A,F14,Parental,DUNE,DUNE,D1,D1-AY,1,1,1,0,0,0,143,0,1
8,DUNE,1,A,G30,Parental,DUNE,DUNE,D3,D3-A10,1,1,1,0,0,0,157,0,1
9,DUNE,1,A,G31,Parental,DUNE,DUNE,D1,D1-A08,1,1,1,1,1,0,289,1,0
10,DUNE,1,A,G35,Parental,DUNE,DUNE,D1,D1-A07,0,0,0,0,0,0,0,NA,1
11,DUNE,1,A,H34,Parental,DUNE,DUNE,D0,D0-38,1,1,1,1,1,1,306,1,0
12,DUNE,1,A,H35,Parental,DUNE,DUNE,D0,D0-36,1,1,1,1,1,0,298,1,0
13,DUNE,1,A,H37,Parental,DUNE,DUNE,D3,D3-A26,0,0,0,0,0,0,0,NA,1
14,DUNE,1,A,H40,Parental,DUNE,DUNE,D1,D1-A29,1,1,1,0,0,0,143,0,1
15,DUNE,1,A,J03,Parental,DUNE,DUNE,D0,D0-27,1,1,1,1,1,0,269,1,0
16,DUNE,1,A,J29,Parental,DUNE,DUNE,D1,D1-A11,0,0,0,0,0,0,0,NA,1
17,DUNE,1,A,J30,Parental,DUNE,DUNE,D0,D0-37,1,1,1,0,0,0,143,0,1
18,DUNE,1,A,K08,Parental,DUNE,DUNE,D1,D1-A09,0,0,0,0,0,0,0,NA,1
19,DUNE,1,A,K20,Parental,DUNE,DUNE,D1,D1-A06,0,0,0,0,0,0,0,NA,1
20,DUNE,1,A,K31,Parental,DUNE,DUNE,D3,D3-A13,1,1,1,1,1,0,289,1,0
21,DUNE,1,A,L04,Parental,DUNE,DUNE,D0,D0-28,0,0,0,0,0,0,0,NA,1
22,DUNE,1,A,N24,Parental,DUNE,DUNE,D0,D0-46,1,1,1,0,0,0,124,0,1
23,DUNE,1,A,O01,Parental,DUNE,DUNE,D3,D3-A04,0,0,0,0,0,0,0,NA,1
24,DUNE,1,A,O14,Parental,DUNE,DUNE,D3,D3-A03,0,0,0,0,0,0,0,NA,1
25,DUNE,1,A,O33,Parental,DUNE,DUNE,D1,D1-A03,0,0,0,0,0,0,0,NA,1
26,DUNE,1,B,B39,Parental,DUNE,DUNE,D3,D3-A05,1,1,1,1,1,0,252,0,1
27,DUNE,1,B,C27,Parental,DUNE,DUNE,D1,D1-A32,0,0,0,0,0,0,0,NA,1
28,DUNE,1,B,E05,Parental,DUNE,DUNE,D3,D3-A21,1,1,1,1,1,1,256,0,1
29,DUNE,1,B,F03,Parental,DUNE,DUNE,D0,D0-29,1,0,0,0,0,0,24,0,1
30,DUNE,1,B,F23,Parental,DUNE,DUNE,D3,D3-A12,1,1,1,1,0,0,197,0,1
31,DUNE,1,B,G09,Parental,DUNE,DUNE,D0,D0-42,1,1,1,1,1,0,308,1,0
32,DUNE,1,B,G12,Parental,DUNE,DUNE,D1,D1-A20,1,1,1,1,1,0,289,1,0
33,DUNE,1,B,G15,Parental,DUNE,DUNE,D3,D3-A20,1,1,1,1,1,1,306,1,0
34,DUNE,1,B,G17,Parental,DUNE,DUNE,D3,D3-A23,1,1,1,1,1,0,310,1,0
35,DUNE,1,B,G37,Parental,DUNE,DUNE,D0,D0-30,1,1,1,1,1,0,304,1,0
36,DUNE,1,B,H03,Parental,DUNE,DUNE,D3,D3-A02,1,1,1,1,1,0,300,1,0
37,DUNE,1,B,H06,Parental,DUNE,DUNE,D1,D1-A12,1,1,1,0,0,0,157,0,1
38,DUNE,1,B,H11,Parental,DUNE,DUNE,D1,D1-A16,1,1,1,0,0,0,104,0,1
39,DUNE,1,B,H27,Parental,DUNE,DUNE,D0,D0-31,0,0,0,0,0,0,0,NA,1
40,DUNE,1,B,I01,Parental,DUNE,DUNE,D0,D0-49,1,0,0,0,0,0,7,0,1
41,DUNE,1,B,I03,Parental,DUNE,DUNE,D0,D0-34,0,0,0,0,0,0,0,NA,1
42,DUNE,1,B,J21,Parental,DUNE,DUNE,D1,D1-A17,0,0,0,0,0,0,0,NA,1
43,DUNE,1,B,J39,Parental,DUNE,DUNE,D1,D1-A33,1,1,1,1,1,0,289,1,0
44,DUNE,1,B,L26,Parental,DUNE,DUNE,D1,D1-A04,1,1,1,1,0,0,289,1,0
45,DUNE,1,B,L40,Parental,DUNE,DUNE,D0,D0-41,0,0,0,0,0,0,0,NA,1
